DEP_CODE,DEP_DESC,POS,BRANCH
1,CHICKEN MEALS,1,SMNAG
2,CLASSIC MEALS,1,SMNAG
3,BREAKFAST,1,SMNAG
4,PASTA DISHES,1,SMNAG
5,SHAKES,1,SMNAG
6,BURGERS AND SANDWICHES,1,SMNAG
7,BEVERAGES,1,SMNAG
8,EXTRAS,1,SMNAG
9,SALAD DELIGHTS,1,SMNAG
10,SIDINGS,1,SMNAG
11,SOUP,1,SMNAG
12,CAKES,1,SMNAG
13,NESPRESSO,1,SMNAG
16,REPRESENTATION,1,SMNAG
17,PREMIUM ITEMS,1,SMNAG
19,UPGRADES UPSELLING,1,SMNAG
20,RND,1,SMNAG
24,KIDS EAT FREE,1,SMNAG
30,MODIFIER,1,SMNAG
32,MARKETING PROMO,1,SMNAG
35,BIGGS AT HOME,1,SMNAG
40,BULK ORDERS,1,SMNAG
41,DELIVERY,1,SMNAG
47,SNACKS,1,SMNAG
48,SALAD DRESSINGS,1,SMNAG
53,BDS,1,SMNAG
54,TEST MARKET,1,SMNAG
18,SIZZLERS,1,SMNAG
23,BIGGS LOYALTY,1,SMNAG
14,PURGED PRODUCTS,1,SMNAG
15,BIGGS LOYALTY 2,1,SMNAG
21,ADD ONS,1,SMNAG
22,HOLIDAY PARTY PACKS,1,SMNAG
25,BIGGS LOYALTY 3,1,SMNAG
26,GO BIGG,1,SMNAG
27,RSD PROMOS,1,SMNAG
